SECTION,TYPE,CATEGORY,ELEMENT,VALUE,UNIT
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Rip-rap (Armor Rock),298086,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,"Stabilized Crushed Stone Paving - 4"" (100mm) Depth",15684,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,26084,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Brick Stone Hardscape,Stone Steps,5061,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Brick Stone Hardscape,Stone Paving or Pavers,8166,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Paving,324784,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Unit Pavers,43546,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Paving,78609,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,20359,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Salvaged Concrete Paving,3922,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Salvaged Concrete Steps,1907,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Salvaged Concrete Wall,3358,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Wall,3823,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Salvaged Concrete Paving,10148,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Stairs,60525,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Spread Footing (Foundation),166264,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Wall,4092,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Demolition Site Preparation,Concrete Paving or Slab Demolition,8308,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Demolition Site Preparation,Clearing and Grubbing,91285,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Demolition Site Preparation,Site Regrading,17803,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Demolition Site Preparation,Removal of Site Soil (off-haul),8034,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Demolition Site Preparation,Trenching and Backfilling,2225,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Exterior Lighting,Light Pole Luminaire,25155,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Exterior Lighting,Galvanized Steel Light Pole,18816,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Furnishings,"STRIPES bench (semi-circle, closed)",2222,kgCOâ‚‚e
