hostname,pl_name,default_flag,rowupdate,sy_pnum,st_rad,st_mass,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_ratdor,pl_ratror
WASP-84,WASP-84b,1,,2,,0.853,,0.0778,0.0021,-0.0021,10.7157084,0.2690136,-0.2690136,219.990952,18.438548,-18.438548,0,,0,88.292,0.045,-0.042,17.3,7.7,-7.7,,
WASP-84,WASP-84c,1,,2,,0.853,,0.02359,0.001,-0.001,1.9503486,0.1232979,-0.1232979,15.259488,4.450684,-4.132778,0,,0,83.2,0.51,-0.49,,,0,,
TOI-1136,TOI-1136b,1,,6,,1.022,,0.05106,0.0009,-0.0009,,,0,3.496966,0.794765,-0.6993932,0.027,0.009,-0.009,86.4,0.6,-0.6,,,0,,
TOI-1136,TOI-1136c,1,,6,,1.022,,0.0669,0.0005,-0.0005,,,0,6.3263294,1.112671,-1.3034146,0.11,0.01,-0.01,88.8,0.7,-1,,,0,,
TOI-1136,TOI-1136d,1,,6,,1.022,,0.1062,0.0008,-0.0008,,,0,8.35139062,1.79934796,-1.59906718,0.042,0.004,-0.004,89.2,0.5,-0.5,0,28,-28,,
TOI-1136,TOI-1136e,1,,6,,1.022,,0.139,0.002,-0.002,,,0,6.0720046,1.0808804,-1.0172992,0.0425,0.004,-0.004,89.2,0.5,-0.5,,,0,,
TOI-1136,TOI-1136f,1,,6,,1.022,,0.174,0.002,-0.002,,,0,9.696133,3.9102438,-3.54783096,0.001,0.001,-0.001,89.3,0.4,-0.4,,,0,,
TOI-1136,TOI-1136g,1,,6,,1.022,,0.229,0.003,-0.003,,,0,5.722308,4.132778,-2.711,0.04,0.01,-0.01,89.5,0.3,-0.3,,,0,,
TOI-5398,TOI-5398b,1,,2,,1.146,,0.098,0.005,-0.005,,,0,58.81261,5.722308,-5.722308,0.13,0.01,-0.1,89.21,0.31,-0.21,13.2,8.2,-8.2,,
TOI-5398,TOI-5398c,1,,2,,1.146,,0.057,0.003,-0.003,,,0,11.7943126,4.8003806,-4.7050088,0.14,0.01,-0.1,88.4,1.6,-0.1,,,0,,
WASP-47,WASP-47b,1,,4,,1.058,,0.0507,0.0016,-0.0016,,,0,375.12908,15.8953,-15.8953,0.0006,0.0005,-0.0002,89,0.17,-0.17,29,11,-13,,
WASP-47,WASP-47c,1,,4,,1.058,,1.393,0.014,-0.014,,,0,448.24746,19.07436,-22.25342,0.264,0.007,-0.012,90,1,-1,,,0,,
WASP-47,WASP-47d,1,,4,,1.058,,0.085,0.0027,-0.0027,,,0,15.5138128,0.6993932,-0.8901368,0.001,0.0008,-0.0007,89.23,0.1,-0.1,,,0,,
WASP-47,WASP-47e,1,,4,,1.058,,0.01673,0.00053,-0.00053,,,0,8.901368,6.35812,-3.17906,0,0,0,86.73,1.76,-1.76,,,0,,
TOI-2076,TOI-2076b,1,,3,,0.824,,0.0682,0.0013,-0.0013,2.51751894,0.03586848,-0.03586848,,,0,0.023,0.02,-0.02,89.78,0.4,-0.4,18,10,-9,,
TOI-2076,TOI-2076c,1,,3,,0.824,,0.1093,0.0021,-0.0021,3.4971768,0.04259382,-0.04259382,,,0,0.047,0.028,-0.024,89.82,0.12,-0.12,,,0,,
TOI-2076,TOI-2076d,1,,3,,0.824,,0.1539,0.0029,-0.0029,3.23152587,0.06276984,-0.06276984,,,0,0.075,0.052,-0.052,88.92,0.08,-0.08,,,0,,
TOI-942,TOI-942b,1,,2,,0.822,,0.04866,0.00017,-0.00013,3.8894883,0.2465958,-0.2353869,,,0,0.05,0.1,-0.1,89.966,0.02,-0.024,1,41,-33,,
TOI-942,TOI-942c,1,,2,,0.822,,0.08598,0.00027,-0.00022,4.6741113,0.336267,-0.3026403,,,0,0.08,0.1,-0.1,89.16,0.38,-0.3,,,0,,
HD 3167,HD 3167b,1,,4,,0.852,,0.01802,0.00025,-0.00025,,,0,4.7367994,0.2861154,-0.2861154,0,0.1,0,87.59,1.63,-1.75,29.5,7.2,-9.4,,
HD 3167,HD 3167c,1,,4,,0.852,,0.1783,0.0025,-0.0025,,,0,106.7210442,0.84880902,-0.8106603,0,0.15,0,89.421,0.13,-0.071,107.7,5.1,-4.9,,
HD 3167,HD 3167d,1,,4,,0.852,,0.07703,0.00106,-0.00108,,,0,5.0229148,0.5086496,-0.5086496,0,0.2,0,89.421,0.13,-0.071,,,0,,
HD 3167,HD 3167e,1,,4,,0.852,,0.4048,0.0077,-0.0074,,,0,9.7438189,1.20168468,-1.15081972,0,0.3,0,89.421,0.13,-0.071,,,0,,
Kepler-56,Kepler-56b,1,,3,,1.32,,0.1028,0.0037,-0.0037,,,0,22.25342,3.814872,-3.496966,0,0,0,83.84,0.26,-0.25,37,0,-37,,
Kepler-56,Kepler-56c,1,,3,,1.32,,0.1652,0.0059,-0.0059,,,0,181.20642,20.981796,-19.07436,0,0,0,84.02,0.087,-0.091,37,0,-37,,
WASP-148,WASP-148b,1,,2,,0.954,,0.08215,0.00086,-0.0015,,,0,91.239022,6.993932,-5.086496,0.208,0.02,-0.025,89.3,0.24,-0.24,8.2,8.7,-9.7,,
WASP-148,WASP-148c,1,,2,,0.954,,0.2044,0.0021,-0.0038,,,0,124.619152,7.311838,-8.583462,0.1809,0.018,-0.0072,68.5,4.6,-4.6,,,0,,
TOI-451,TOI-451b,1,,3,,0.95,,0.0283,0.0011,-0.0012,1.905513,0.1232979,-0.1232979,,,0,0,0,0,88.2,1.2,-1.7,40,22,-28,,
